,A1,E1_a,E1_b,E1_c,E1_d,E1_e,E1_f,E1_g,E1_h,E2
134,1,1,2,2,2,2,2,2,2,E1_a
135,2,1,2,2,2,2,2,1,2,1
136,2,2,2,2,1,2,2,1,2,7
137,2,1,2,2,2,2,2,1,2,1
138,2,2,2,2,2,2,1,1,-99,6
139,1,1,2,2,2,2,2,2,2,E1_a
140,2,1,2,2,2,2,2,2,2,E1_a
141,1,2,2,2,2,2,1,1,1,8
142,2,1,2,2,2,2,2,1,2,1
143,2,2,2,2,2,2,1,1,1,8
144,4,2,2,2,2,2,1,1,1,6
145,2,2,2,2,2,1,2,1,2,5
146,4,1,2,2,2,2,2,2,2,E1_a
147,4,2,2,2,2,2,1,2,2,E1_f
148,2,2,2,1,2,2,2,2,2,E1_c
149,1,1,2,2,2,2,2,1,2,1
150,2,2,2,2,2,2,2,1,1,8
151,1,2,2,1,2,2,2,1,2,3
152,2,2,1,2,2,1,2,2,2,2
153,2,1,2,2,2,2,2,2,2,E1_a
154,2,2,2,2,2,1,1,2,2,6
155,1,2,2,2,2,1,1,1,1,8
156,4,2,2,1,1,2,2,2,2,4
157,2,2,2,2,2,2,1,1,1,8
158,2,2,2,2,2,2,1,1,2,6
159,2,2,2,2,2,2,1,1,2,6
160,2,1,2,2,2,2,1,2,2,6
161,2,2,2,2,2,2,1,2,2,E1_f
162,2,2,2,2,2,2,1,1,2,7
163,2,1,2,2,2,2,2,1,2,1
164,2,1,2,2,2,2,2,1,2,7
165,2,2,2,2,2,1,1,2,2,5
166,4,1,2,2,2,2,2,1,2,1
167,1,2,2,2,2,2,1,2,1,8
168,2,2,2,1,2,2,2,2,2,E1_c
169,5,2,2,2,1,1,2,1,2,4
170,2,2,2,2,2,1,1,2,2,6
171,4,1,2,2,2,2,2,1,2,1
172,2,2,2,2,2,2,1,1,1,6
173,2,1,2,2,2,2,2,1,-99,1
174,5,1,2,2,2,2,2,2,1,-100
175,4,1,2,1,2,2,2,2,2,1
176,5,1,2,2,2,2,2,1,1,8
177,1,2,2,2,2,2,1,1,1,8
178,1,1,2,2,2,2,2,1,2,1
179,2,2,2,2,2,2,1,1,1,8
180,4,2,2,2,2,2,1,1,1,6
181,2,2,2,2,2,2,1,1,-99,6
182,2,1,2,2,2,2,2,2,2,E1_a
183,2,2,2,2,2,2,1,2,2,E1_f
184,2,1,2,2,2,2,2,2,2,E1_a
185,4,2,2,2,2,2,1,2,1,-98
186,2,2,2,2,2,2,1,1,-99,6
187,4,2,1,2,2,2,2,2,2,E1_b
188,2,2,1,2,2,2,2,2,2,E1_b
189,1,2,2,2,2,2,1,2,2,E1_f
190,4,1,2,2,2,2,2,1,2,7
191,2,2,2,2,2,2,1,1,2,6
192,3,2,2,2,2,2,1,1,1,8
193,2,2,2,2,2,2,1,2,2,E1_f
194,4,2,2,2,2,2,1,1,2,6
195,5,2,2,2,2,2,1,1,2,6
196,2,2,2,2,2,2,1,1,1,6
197,2,1,2,2,2,2,2,2,2,E1_a
198,2,1,2,2,2,2,2,2,2,E1_a
199,2,1,2,2,2,2,2,1,2,1
200,2,2,2,2,2,2,1,2,2,E1_f
201,2,1,2,2,2,2,2,1,2,1
202,4,2,2,2,2,2,1,1,1,6
203,1,1,2,2,2,2,2,1,2,1
204,2,2,2,2,2,2,1,2,1,6
205,1,2,2,2,2,2,1,1,2,6
206,2,2,2,2,2,2,1,2,2,E1_f
207,2,1,2,2,2,2,2,1,-99,1
208,2,2,2,2,2,2,1,2,2,E1_f
209,2,2,2,2,1,1,2,1,2,5
210,-98,2,2,2,2,1,1,2,1,8
211,2,2,2,2,2,2,1,1,2,6
212,4,1,2,2,2,2,2,1,2,7
213,2,2,2,2,2,2,1,1,1,6
214,2,2,2,2,2,1,1,1,2,6
215,4,2,2,2,2,2,1,1,2,6
216,2,1,2,2,2,2,2,2,2,E1_a
217,4,2,2,2,2,2,1,1,2,6
218,2,1,2,2,2,2,1,2,1,8
219,2,2,2,2,2,2,1,2,-98,E1_f
220,4,2,2,2,2,2,1,2,2,E1_f
221,1,2,2,2,2,2,1,2,2,E1_f
222,4,1,2,2,2,2,2,1,1,1
223,2,2,2,2,2,2,1,2,2,E1_f
224,4,1,2,2,2,2,2,2,2,E1_a
225,1,2,2,2,2,1,1,1,2,5
226,2,1,2,2,2,2,2,1,2,7
227,4,1,2,2,2,2,1,1,2,1
228,2,2,2,2,2,2,1,1,2,6
229,1,1,2,2,2,2,2,1,2,7
230,2,2,2,2,2,2,1,1,-99,6
231,2,2,2,2,2,2,1,2,1,8
232,2,2,2,2,2,2,1,2,2,E1_f
233,2,2,2,2,1,2,2,1,1,8
234,4,2,2,2,2,2,1,1,1,8
235,2,2,2,2,2,2,1,1,2,6
236,4,2,1,2,1,2,2,1,1,7
237,2,1,2,2,2,2,2,1,1,7
238,2,1,2,2,2,2,2,1,1,7
239,1,2,2,2,2,2,1,1,2,6
240,2,2,1,2,2,1,1,2,1,8
241,2,2,2,2,2,1,1,1,2,-98
242,2,2,2,2,2,2,1,2,2,E1_f
243,2,2,2,2,2,2,1,1,2,7
244,4,2,2,2,2,2,1,1,2,6
245,1,2,2,2,2,2,1,1,2,6
246,2,1,2,2,2,2,2,2,2,E1_a
247,1,2,2,2,2,2,2,1,2,E1_g
248,4,1,1,2,2,2,2,2,2,1
249,4,1,2,2,2,2,2,2,1,-100
250,1,2,2,2,2,1,1,1,1,6
251,2,2,2,2,2,2,1,1,1,8
252,2,2,2,2,1,2,2,1,-99,7
253,2,1,2,2,2,2,2,1,2,1
254,4,2,2,2,2,2,1,1,-98,7
255,4,1,2,2,2,2,2,1,-98,1
256,2,1,2,2,2,2,2,1,2,1
257,2,-99,-99,-99,-99,-99,2,-99,-99, 
258,2,2,2,2,2,2,1,1,-98,6
259,2,2,2,2,2,1,1,1,2,7
260,2,2,2,2,2,2,1,1,2,6
261,4,1,2,2,2,2,2,2,2,E1_a
262,4,2,2,2,1,2,2,2,2,E1_d
263,4,2,2,2,1,2,2,2,2,E1_d
264,2,1,2,2,2,2,2,2,2,E1_a
265,1,1,2,2,2,2,2,1,2,1
266,1,1,2,2,2,2,2,1,1,1
267,2,2,2,2,2,2,2,2,-98, 
268,2,1,2,2,2,2,2,1,2,1
269,2,2,2,2,2,2,1,1,2,7
270,2,2,2,2,2,2,1,2,2,E1_f
271,2,2,2,2,2,2,1,2,2,E1_f
272,2,2,2,2,2,2,1,2,-98,E1_f
273,2,2,2,2,2,2,1,1,-99,6
274,2,1,2,2,2,2,2,2,2,E1_a
275,2,2,2,2,2,2,1,1,1,6
276,4,1,2,2,2,2,2,1,2,1
277,2,2,2,2,2,2,1,1,1,8
278,2,1,2,2,2,2,2,2,2,E1_a
279,4,2,1,2,1,1,2,1,2,5
280,2,2,2,2,2,2,1,2,-99,E1_f
281,2,2,2,2,2,2,1,1,-99,6
282,1,1,2,2,2,2,2,2,2,E1_a
283,2,1,2,2,2,2,2,1,2,1
284,4,1,2,2,2,2,2,1,2,1
285,4,1,2,2,2,2,2,2,2,E1_a
286,2,2,2,2,2,2,1,1,2,7
287,2,1,1,2,2,2,2,2,2,1
288,2,2,2,2,2,2,1,1,2,7
289,2,2,2,2,2,2,1,1,-98,6
290,2,2,2,2,2,2,1,2,2,E1_f
291,4,2,2,2,2,2,2,1,2,E1_g
292,2,2,2,2,2,2,1,2,2,E1_f
293,2,2,2,2,2,2,1,2,2,E1_f
294,4,1,2,2,2,2,2,2,2,E1_a
295,4,2,2,2,2,2,1,2,2,E1_f
296,2,2,2,2,2,2,1,1,1,6
297,2,1,2,2,2,2,1,2,2,1
298,2,2,2,2,2,2,1,2,2,E1_f
299,2,1,2,2,2,2,2,1,2,1
300,2,1,2,2,2,2,2,1,2,1
301,2,2,2,2,2,2,1,1,2,6
302,2,2,2,2,2,1,1,2,2,6
303,2,2,2,2,2,2,1,1,1,6
